証券コード,年月日,貸株残,貸株(増減),貸株(新規),貸株(返済),融資残,融資(増減),融資(新規),融資(返済)
1384,2023/04/19,8900,-10500,0,10,0,0,0,0
1400,2023/04/14,16000,-13000,0,13,0,0,0,0
1400,2023/02/14,1300,-20100,0,20,0,0,0,0
1400,2023/01/05,1700,-7800,0,7,0,0,0,0
1400,2023/01/04,9500,7800,7,800,0,0,0,0
1418,2023/04/12,57600,46100,51,500,59400,59400,59,400
1418,2023/02/28,3900,-44200,0,44,300,-800,0,800
1418,2023/02/27,48100,46100,46,100,1100,-29300,700,30
1418,2023/02/15,7100,-10300,0,10,1900,0,0,0
1418,2023/01/10,7700,-7600,200,7,3300,0,0,0
1420,2023/04/11,2200,-9300,100,9,2200,0,0,0
1420,2023/03/30,8100,8100,8,100,22500,-106800,0,106
1420,2023/01/30,6900,-13900,0,13,0,0,0,0
1420,2023/01/27,20800,19500,19,500,0,-800,0,800
1430,2023/04/24,6400,-5700,0,5,5300,-1200,0,1
1430,2023/04/19,5800,-26500,600,27,5800,100,300,200
1430,2023/04/10,3300,-9700,1,400,2100,-1300,500,1
1430,2023/04/07,13000,10500,12,0,3400,900,1,100
1430,2023/04/03,1800,-17500,200,17,1000,-1200,300,1
1430,2023/03/31,19300,-24900,100,25,2200,-200,800,1
1430,2023/03/14,12800,10800,10,800,800,-200,200,400
1430,2023/02/15,8100,6700,6,700,200,0,0,0
1431,2023/04/21,15300,-14800,0,14,169100,-1000,400,1
1434,2023/04/17,3000,-7200,0,7,2000,-1600,1,200
1434,2023/03/01,4500,-5100,0,5,0,0,0,0
1434,2023/01/19,4000,-6300,0,6,0,0,0,0
1435,2023/05/15,41200,-52200,9,700,0,0,0,0
1435,2023/02/15,11000,-19800,0,19,0,0,0,0
1711,2023/03/30,6500,-14100,0,14,0,0,0,0
1712,2023/04/11,15600,-20600,100,20,3200,0,0,0
1716,2023/04/27,2200,-9200,100,9,400,0,0,0
1717,2023/03/30,2900,-7000,0,7,0,0,0,0
1718,2023/05/25,500,-10000,0,10,0,0,0,0
1718,2023/01/18,10000,10000,10,0,0,0,0,0
1764,2023/03/23,8400,7300,7,300,0,0,0,0
1776,2023/03/07,3900,-10100,0,10,0,0,0,0
1780,2023/05/15,9400,9300,9,300,42400,-5600,600,6
1780,2023/04/03,1200,-6900,0,6,76600,-6500,1,100
1780,2023/03/13,8800,7800,7,800,72100,13000,13,200
1780,2023/03/07,3000,-11300,300,11,31100,1500,3,900
1805,2023/03/31,9000,-21000,0,21,3700,-2500,0,2
1811,2023/03/31,23200,22400,22,400,0,0,0,0
1826,2023/04/05,204000,-195500,0,195,1500,-300,0,300
1826,2023/03/14,364700,300400,300,400,2400,0,0,0
1826,2023/01/30,19300,-83800,3,300,100,-500,0,500
1828,2023/02/27,5200,-42800,1,200,0,0,0,0
1844,2023/05/09,1000,-7400,0,7,0,0,0,0
1844,2023/04/25,8400,-23300,0,23,0,0,0,0
1844,2023/04/19,23400,-30000,0,30,0,0,0,0
1847,2023/04/19,15600,12900,12,900,0,0,0,0
1847,2023/04/05,5600,5000,5,0,0,0,0,0
1848,2023/05/09,2800,-5000,0,5,0,0,0,0
1848,2023/05/08,7800,-7200,200,7,0,-45000,0,45
1921,2023/01/20,47600,-71800,0,71,1800,700,700,0
1930,2023/02/10,4800,-5300,1,300,4800,-300,700,1
1930,2023/01/30,3700,-10000,0,10,200,0,100,100
1967,2023/03/30,199100,-272300,0,272,8300,-1600,300,1
2009,2023/04/10,1200,-5400,0,5,0,0,0,0
2009,2023/04/07,6600,5400,5,400,0,0,0,0
2055,2023/04/25,11800,9500,10,300,2300,0,0,0
2114,2023/05/29,5300,-5100,1,100,5300,-600,300,900
2114,2023/01/26,6200,-5800,200,6,0,-200,0,200
